idcode,year,age,grade,south,lnwage
24,69,22,14,0,1.949388146
24,70,23,14,0,2.000029325
24,71,24,14,0,2.087566614
24,72,25,14,0,2.099055052
24,73,26,14,0,2.038808346
24,75,28,14,0,1.880083561
24,77,30,14,0,1.806147575
24,78,31,14,0,1.857954264
25,68,22,14,0,1.885602832
25,69,23,14,0,1.990210414
25,70,24,14,0,2.043246508
25,71,25,14,0,2.168054104
25,75,29,14,0,2.078173637
25,77,30,14,0,2.109713316
25,78,32,14,0,2.11578393
26,68,23,14,0,1.934577227
26,69,24,14,0,2.132866383
26,70,25,14,0,2.043246508
26,71,26,14,0,2.12248826
27,68,22,14,0,1.991735697
27,69,23,14,0,1.990210414
27,70,24,14,0,2.168054104
27,71,25,14,0,2.12248826
29,69,20,13,1,1.931874871
29,70,21,13,0,1.728845477
29,71,22,13,0,2.111763954
29,72,23,13,0,1.673708677
30,70,19,8,0,1.479384422
30,71,20,8,0,1.539445519
30,72,21,8,0,1.576790094
30,73,22,8,0,1.061530232
30,77,26,8,0,1.677364826
33,68,22,12,0,1.565217018
36,70,18,12,0,1.767066717
36,71,19,12,0,1.597713947
36,72,20,12,0,1.301507473
36,73,21,12,0,1.617470145
36,75,23,12,0,2.086594343
36,77,25,12,0,2.262824535
36,78,26,12,0,2.321949244
37,68,19,12,0,1.416371703
37,69,20,12,0,1.297063231
37,70,22,12,0,1.297063231
38,68,23,12,0,1.753724813
38,69,24,12,0,1.754487634
38,70,25,12,0,1.754487634
38,71,26,12,0,1.493879557
38,72,27,12,0,1.598673344
38,75,30,12,0,1.44053936
38,77,32,12,0,1.321255922
40,71,20,14,0,1.75238955
41,68,20,12,0,1.403948903
41,69,21,12,0,1.403948903
41,70,22,12,0,1.196954608
41,71,23,12,0,1.633641124
41,72,24,12,0,1.896048307
41,73,25,12,0,2.014189005
41,75,27,12,0,1.8079561
41,77,29,12,0,1.739161015
44,77,30,18,0,2.6666646
44,78,31,18,0,2.476490974
45,72,19,12,0,1.645192742
45,73,20,12,0,1.826108932
45,75,22,12,0,2.12363553
45,77,24,12,0,2.183301449
45,78,25,12,0,2.213540077
49,68,21,12,0,1.708671927
49,69,21,12,0,1.737466335
49,70,23,12,0,1.854256272
49,71,24,12,0,1.848050833
51,70,19,12,0,1.657065749
51,71,20,12,0,1.602733731
51,72,21,12,0,1.598673344
51,73,22,12,0,0.432921648
51,78,27,12,0,1.250365853
53,72,18,12,0,1.454573154
53,73,19,12,0,1.507655144
53,75,21,12,0,1.46815443
55,68,24,12,0,1.452739
55,69,25,12,0,1.609437585
55,70,26,12,0,1.687865496
55,71,27,12,0,1.676200986
55,72,28,12,0,1.677716732
55,73,29,12,0,1.65669024
55,75,31,12,0,1.799611449
55,78,34,12,0,1.289585948
56,68,19,12,0,1.850236416
56,77,28,12,0,2.350875378
56,78,29,12,0,2.237546682
57,68,22,12,0,1.586270332
57,70,24,12,0,1.42222631
57,71,25,12,0,1.301507473
57,75,29,12,0,0.672668517
57,77,31,12,0,1.791259646
57,78,32,12,0,1.838152528
59,68,19,12,0,1.434720755
59,73,24,12,0,1.321041822
59,75,26,12,0,1.217395782
59,78,29,12,0,1.321255922
60,70,18,12,0,1.607103944
60,71,19,12,0,1.744638205
60,75,23,12,0,1.727220893
60,77,25,12,0,1.321255922
60,78,25,12,0,1.503577471
61,71,18,12,0,1.461483717
61,72,19,12,0,1.321041822
61,73,20,12,0,1.316364646
61,75,22,12,0,1.266185284
61,77,24,12,0,1.452467442
62,68,17,10,0,0.646263599
62,69,18,10,0,1.506783485
62,70,19,10,0,1.361601353
62,71,20,10,0,1.347073436
63,68,23,15,0,2.081347942
63,69,24,15,0,2.124157906
63,70,25,15,0,2.124157906
63,71,26,15,0,2.17191267
63,72,27,15,0,2.132606268
63,73,28,15,0,2.109498739
63,75,30,15,0,2.642416239
63,77,32,15,0,2.543134928
64,69,18,12,0,1.737466335
64,70,19,12,0,1.819816947
64,71,20,12,0,1.16110909
64,72,21,12,0,1.493793845
65,68,22,15,0,2.255701542
65,69,23,15,0,2.144361019
65,70,24,15,0,2.029430866
65,71,25,15,0,2.168054104
65,73,27,15,0,2.267709255
65,75,29,15,0,2.133686543
65,77,31,15,0,2.237546682
66,68,19,13,0,1.248756289
66,69,20,13,0,1.398415685
66,70,21,13,1,1.543922901
66,78,29,13,0,1.345675945
67,70,22,15,1,2.087566614
67,71,23,15,0,2.350375891
67,72,24,15,0,2.265503407
67,73,25,15,0,2.306858301
67,77,29,15,0,2.276767492
68,68,24,16,0,2.039201975
68,69,25,16,0,2.115373373
68,71,27,16,0,1.996854424
68,72,28,16,0,1.976338387
69,69,19,12,0,1.439719319
69,70,20,12,0,1.693599463
69,71,21,12,0,1.593724489
69,72,22,12,0,1.6243155
69,73,23,12,0,1.615840673
69,75,25,12,0,1.665281415
69,77,27,12,0,1.647059917
71,73,19,12,0,1.454573154
71,75,21,12,0,1.592401624
71,77,23,12,0,1.592401624
72,71,18,12,0,1.182770371
72,72,20,12,0,1.137204409
72,73,20,12,0,1.429255247
72,75,22,12,0,1.44053936
72,77,25,12,0,2.157636642
73,72,20,14,0,1.292054176
73,73,21,14,0,1.394326568
73,75,23,14,0,1.632810831
73,77,25,14,0,1.776145577
73,78,26,14,0,1.780994058
75,68,18,11,0,1.339410782
75,69,19,11,0,1.355331659
75,70,20,11,0,1.439624906
75,71,21,11,0,1.45305717
75,72,22,11,0,1.55685401
75,73,23,11,0,1.572356224
75,75,25,11,0,2.133686543
75,77,27,11,0,2.350875378
77,70,16,10,0,1.153961778
77,78,24,10,0,1.725356102
78,69,21,12,0,2.121238232
78,72,24,12,0,2.265503407
78,73,25,12,0,2.265503407
78,75,27,12,0,1.864498973
78,77,29,12,0,2.287478924
78,78,30,12,0,2.323318005
79,68,20,7,0,1.493561387
82,68,20,12,0,1.817712426
82,70,22,12,0,2.075938463
82,71,23,12,0,2.111763954
82,72,24,12,0,2.147720337
82,73,25,12,0,2.189578056
83,72,19,12,0,1.119099975
83,73,20,12,0,1.503180742
83,77,24,12,0,1.726721048
84,68,22,12,0,1.981264114
85,70,20,11,0,1.521731853
86,68,23,17,0,2.025868893
86,69,24,17,0,1.949388146
86,72,27,17,0,0.839953065
86,73,29,17,0,2.269795179
86,75,31,17,0,2.27692008
86,77,32,17,0,2.483307838
86,78,33,17,0,1.943513036
87,70,23,17,0,2.345550776
87,71,24,17,0,2.300355434
88,68,21,12,0,1.70405376
88,69,22,12,0,1.858581662
89,70,22,14,0,2.217478752
89,71,22,14,0,2.460863113
91,68,26,13,0,2.186708689
91,69,27,13,0,2.237070084
92,77,28,9,0,1.945453048
93,77,28,13,0,1.924478412
94,70,24,10,0,0.968559086
94,71,25,10,0,1.493879557
94,72,26,10,0,1.493879557
94,73,27,10,0,1.321041822
94,75,29,10,0,1.910542965
94,77,31,10,0,1.777011633
95,68,17,11,0,1.219124556
95,70,19,11,0,1.235187769
95,71,20,11,0,1.539445519
95,73,22,11,0,1.452594995
95,75,24,11,0,1.012828112
96,69,17,11,0,1.479384422
96,75,23,11,0,1.910542965
97,68,17,9,0,1.476269484
97,75,24,9,0,1.535849571
98,68,20,11,0,1.666313529
98,69,21,11,0,1.647719741
98,70,22,11,0,1.704959512
98,71,23,11,0,1.750516295
98,72,24,11,0,1.89282763
98,73,25,11,0,1.933739185
98,75,27,11,0,1.892887592
98,77,29,11,0,1.818387508
99,69,18,12,0,1.584745288
99,70,19,12,0,1.893616796
99,72,21,12,0,1.849987745
99,73,22,12,0,1.882906079
99,75,24,12,0,1.980534673
100,68,22,16,0,2.025868893
100,69,23,16,0,2.097568512
100,71,25,16,0,2.373202085
103,78,26,18,0,2.10392952
104,73,25,17,0,2.143381357
104,75,27,17,0,2.718133688
104,77,29,17,0,2.753186464
105,71,23,16,0,2.168054104
107,68,23,8,0,1.314638138
107,69,24,8,0,1.517536521
107,70,25,8,0,1.329852581
107,71,26,8,0,1.270735621
107,73,28,8,0,1.07274282
107,75,30,8,0,0.755359769
107,77,32,8,0,1.647059917
108,70,23,12,0,1.316301703
108,71,24,12,0,1.316301703
108,77,29,12,0,1.571567059
108,78,31,12,0,1.301052809
111,72,28,5,0,1.454573154
111,73,29,5,0,1.637272477
111,75,31,5,0,1.575069785
111,77,33,5,0,1.647059917
111,78,34,5,0,1.601022482
112,69,16,11,0,1.403948903
112,70,17,11,0,1.361601353
112,71,18,11,0,1.316301703
112,72,19,11,0,1.454573154
112,73,20,11,0,1.503362656
114,70,20,12,0,1.479384422
114,75,25,12,0,1.44053936
115,69,17,12,0,1.392373204
115,70,18,12,0,1.468211293
115,73,21,12,0,1.727220654
115,77,25,12,0,1.513527513
117,68,14,8,0,1.064973354
118,68,23,8,0,1.339410782
118,71,26,8,0,1.542669058
118,75,30,8,0,1.312705517
118,77,32,8,0,1.705156446
118,78,33,8,0,1.531023145
119,73,20,12,0,1.231429219
119,75,22,12,0,0.916290402
120,72,18,9,0,0.98456955
121,68,19,12,0,1.549131036
121,69,20,12,0,1.584745288
121,70,21,12,0,1.657228589
121,71,22,12,0,1.676200986
121,72,23,12,0,1.869988203
121,73,24,12,0,2.191833496
121,75,26,12,0,2.04812789
121,77,28,12,0,2.203368664
121,78,29,12,0,2.245097637
123,68,21,6,0,1.521731853
123,69,22,6,0,1.361601353
123,70,23,6,0,1.361601353
124,68,22,0,0,1.196309328
125,69,18,11,0,1.157089233
126,68,19,12,0,1.391370416
126,69,20,12,0,1.702528358
126,70,21,12,0,1.657228589
126,71,22,12,0,1.676200986
126,72,23,12,0,1.943152666
126,73,24,12,0,2.159794331
126,75,26,12,0,2.145614624
126,77,28,12,0,2.08765316
126,78,29,12,0,2.137433529
127,72,22,14,0,1.791045189
128,70,18,12,0,1.6117661
128,71,19,12,0,1.708990812
128,72,20,12,0,1.815737605
128,73,21,12,0,1.832581043
128,75,23,12,0,1.832581162
128,77,25,12,0,1.842427611
128,78,26,12,0,1.976947427
129,68,23,12,0,2.078168154
129,69,24,12,0,2.164163589
129,70,25,12,0,1.584745288
129,72,27,12,0,1.677716732
129,73,28,12,0,1.697519064
129,77,32,12,0,1.771056414
130,68,22,12,0,1.627092838
130,69,23,12,0,1.09044838
130,70,24,12,0,1.782391429
130,71,25,12,0,1.782391429
131,68,20,12,0,1.543710828
131,69,21,12,0,1.670922279
131,70,22,12,0,1.709187865
131,71,23,12,0,1.790204167
132,70,18,10,0,1.584745288
132,71,19,10,0,1.442586064
132,72,20,10,0,1.594334841
132,73,21,10,0,1.4941715
132,75,23,10,0,1.217395782
132,78,26,10,0,1.308634639
133,68,22,12,0,1.735947013
133,69,23,12,0,1.835503936
133,70,24,12,0,1.900610089
133,71,25,12,0,1.984131098
133,72,26,12,0,1.677716732
133,73,27,12,0,1.677716732
134,75,28,12,0,1.479759455
135,69,21,8,0,1.361601353
139,68,23,9,0,1.339410782
139,72,27,9,0,1.365741968
139,73,28,9,0,1.321041822
142,73,27,18,0,2.300441504
142,77,31,18,0,2.994982004
143,75,23,15,0,2.082393169
143,77,25,15,0,2.285955429
143,78,26,15,0,2.356945992
144,68,23,10,0,1.838163495
144,69,24,10,0,1.522869468
144,70,25,10,0,1.634755254
144,71,26,10,0,2.12248826
144,72,27,10,0,1.572356224
144,73,28,10,1,1.815737605
145,70,18,11,0,1.657228589
145,71,19,11,0,1.797680736
145,72,20,11,0,1.812247157
145,73,21,11,0,2.012211084
146,73,21,14,0,1.668162942
146,75,23,14,0,1.585504889
147,69,21,12,0,1.528174639
147,70,22,12,0,1.782391429
147,71,23,12,0,1.988575459
147,72,24,12,0,2.002694368
147,73,25,12,0,2.030903101
147,75,27,12,0,2.019397259
147,77,29,12,0,2.067545891
149,71,20,12,0,1.611662626
149,73,22,12,0,1.809741616
150,77,26,16,0,1.867113471
151,71,24,17,0,2.130005836
151,72,25,17,0,2.505394459
151,73,26,17,0,2.606725931
153,71,18,12,0,2.148805141
153,72,19,12,0,1.508113384
153,73,20,12,0,1.551329494
153,75,22,12,0,1.53947866
153,77,24,12,0,1.634605289
153,78,25,12,0,1.49095583
156,75,23,11,0,1.535849571
156,77,25,11,0,1.545997977
156,78,26,11,0,1.740171552
158,68,21,12,0,1.627092838
158,69,22,12,0,1.652403712
158,70,23,12,0,1.762589097
158,71,24,12,0,2.148805141
158,72,25,12,0,1.993985772
158,73,26,12,0,2.178227425
158,75,28,12,0,2.086594343
158,77,30,12,0,1.832880855
158,78,31,12,0,1.921267271
159,70,18,11,0,1.361601353
159,71,19,11,0,1.539445519
159,72,20,11,0,1.620087028
159,73,21,11,0,1.633343101
159,75,23,11,0,1.846004486
159,77,25,11,0,1.868220568
159,78,26,11,0,1.971127987
160,68,19,12,0,1.559884071
160,69,20,12,0,1.34267354
160,70,21,12,0,1.365091801
160,71,22,12,0,1.812333345
160,72,23,12,0,1.869988203
161,68,19,8,0,1.339410782
161,69,20,8,0,1.702528358
161,70,21,8,0,1.702528358
161,78,29,8,0,1.509648323
162,68,16,8,0,1.403948903
162,69,17,8,0,1.533451796
162,70,18,8,0,1.069441915
162,71,19,8,0,1.493879557
162,72,20,8,0,1.166891098
162,73,21,8,0,1.260795116
162,75,23,8,0,1.44053936
162,77,25,8,0,1.321255922
162,78,26,8,0,1.345675945
163,68,19,12,0,1.47043848
163,69,20,12,0,1.633534789
163,70,21,12,1,1.633534789
163,78,29,12,0,1.027222276
164,75,24,16,0,2.054643154
164,77,26,16,0,1.872838736
164,78,27,16,0,1.739459991
165,68,18,11,0,1.270417571
170,68,24,12,0,1.6994133
170,69,25,12,0,1.746012807
171,68,22,14,0,1.870038748
171,69,23,14,0,2.164163589
171,70,24,14,0,2.118863821
171,71,25,14,0,2.174447775
171,72,26,14,0,2.201260567
171,73,27,14,0,2.404107332
171,75,29,14,0,2.549761534
171,77,31,14,0,2.510318041
171,78,32,14,0,2.573494673
172,68,24,15,0,1.949175715
172,73,29,15,0,2.306609154
172,75,31,15,0,2.788092375
172,77,33,15,0,2.239145041
172,78,34,15,0,2.285682917
173,68,22,12,0,1.446768761
173,69,23,12,0,1.479384422
173,70,24,12,0,1.680055022
173,71,25,12,0,1.611662626
173,75,29,12,0,1.7568084
173,77,31,12,0,1.622860909
174,68,23,12,0,1.532781959
174,69,24,12,0,1.633534789
174,70,25,12,0,1.730065107
174,71,26,12,0,1.909294605
174,72,27,12,0,2.039577723
174,73,28,12,0,1.930819392
174,75,30,12,0,2.078173637
174,77,32,12,0,2.10789299
174,78,33,12,0,2.198154688
175,70,18,12,0,1.434084654
175,71,19,12,0,1.493879557
176,69,18,12,0,1.584745288
176,70,19,12,0,1.680055022
176,73,22,12,0,1.454573154
176,75,24,12,0,1.553867817
176,77,26,12,0,1.67191267
176,78,27,12,0,1.615008473
177,68,17,0,0,1.493561387
177,69,18,0,0,1.124565244
177,70,19,0,0,1.242254376
178,69,23,10,0,1.403948903
178,78,32,10,0,1.475406408
180,68,19,12,0,1.559884071
181,68,18,12,0,0.735494316
182,70,24,16,0,2.265313387
182,71,25,16,0,1.844535828
182,73,27,16,0,2.005580425
183,72,27,12,0,1.773026943
183,73,27,12,0,1.743503809
183,75,29,12,0,1.799611449
183,77,31,12,0,2.03027606
183,78,33,12,0,2.07102561
184,68,21,12,0,1.559884071
184,70,23,12,0,1.451213956
184,77,30,12,0,1.806147575
184,78,31,12,0,1.792689919
185,73,22,15,0,2.157465458
185,75,24,15,1,2.35683012
185,77,26,15,1,2.350875378
186,68,19,11,0,1.339410782
186,69,20,11,0,1.297063231
186,70,21,11,0,1.472236753
186,71,22,11,0,1.552147985
186,72,23,11,0,1.454573154
186,73,24,11,0,1.454573154
186,75,26,11,0,1.217395782
187,70,19,11,0,1.34267354
187,72,21,11,0,1.231429219
187,73,22,11,0,1.332405329
187,75,24,11,0,1.53947866
187,77,26,11,0,1.647059917
188,75,28,12,0,1.564525366
188,77,30,12,0,1.778680563
188,78,31,12,0,1.780994058
189,75,24,16,0,1.935235262
189,78,27,16,0,2.149535656
191,68,22,12,0,1.817712426
192,68,19,12,0,1.559884071
193,69,18,12,0,1.316865683
193,71,21,12,0,1.316865683
193,72,22,12,0,1.952313304
193,73,22,12,0,1.899258614
194,71,27,14,0,1.717023134
195,71,19,12,0,1.399568677
195,72,20,12,0,1.413750768
195,73,21,12,0,1.512109637
195,77,25,12,0,1.651997447
195,78,26,12,0,1.720369458
196,68,20,12,0,1.434720755
196,69,21,12,0,1.42222631
196,70,22,12,0,1.347073436
196,71,23,12,0,1.552147985
196,72,24,12,0,1.607294202
196,73,25,12,0,1.589069963
196,75,27,12,0,1.762622476
196,77,29,12,0,1.665281415
198,68,20,12,0,1.796835184
198,69,21,12,0,1.795815945
198,70,22,12,0,1.883035183
198,71,23,12,0,1.985521913
198,73,25,12,0,1.955348253
199,68,21,12,0,1.493561387
199,69,21,12,0,1.533451796
199,70,23,12,0,1.549395204
199,71,24,12,0,1.552147985
199,72,24,12,0,1.392697334
199,73,26,12,0,1.387364388
201,69,19,12,0,1.479384422
201,70,20,12,0,1.533451796
201,71,21,12,0,1.552147985
201,77,27,12,0,1.791259646
201,78,28,12,0,1.875233769
203,70,23,11,1,1.479384422
203,71,24,11,1,1.633641124
203,72,25,11,1,1.724599957
203,73,26,11,1,1.772762299
203,75,28,11,1,1.818975687
203,77,30,11,1,1.870532274
203,78,31,11,1,1.799642205
204,68,17,10,0,1.403948903
204,69,18,10,0,1.451213956
204,70,19,10,0,1.451213956
205,77,27,16,0,2.198389769
205,78,29,16,0,2.279985189
208,77,25,15,0,1.715135932
209,71,18,12,0,1.539445519
209,72,19,12,0,0.800732374
209,73,20,12,0,1.360262394
209,77,24,12,0,1.724020481
210,68,17,11,0,1.30550909
210,71,20,11,0,1.069441915
210,72,21,11,0,1.572356224
210,73,22,11,0,1.741456032
210,75,24,11,0,1.639389992
210,77,26,11,0,2.043961525
210,78,27,11,0,2.053263426
211,70,21,11,0,1.374024153
211,73,24,11,0,1.723629832
211,75,26,11,0,1.905530334
211,77,28,11,0,1.911262035
211,78,29,11,0,1.913053513
212,71,20,13,0,1.76390624
212,72,21,13,0,1.773026943
212,73,22,13,0,1.723629832
212,75,24,13,0,1.918014646
212,77,26,13,0,1.851884246
212,78,27,13,0,1.289585948
213,68,23,10,0,1.627092838
213,70,25,10,0,1.809472322
213,71,26,10,0,1.790204167
213,72,27,10,0,1.376611352
213,73,28,10,0,1.776181221
213,75,30,10,0,1.742124081
213,77,32,10,0,1.931021214
213,78,33,10,0,1.943513036
214,71,17,10,0,1.182770371
214,78,24,10,0,1.405658126
215,75,23,16,0,1.44053936
215,77,25,16,0,1.935359716
215,78,26,16,0,2.15827322
216,72,23,15,0,1.415917754
216,73,24,15,0,1.512109637
216,75,26,15,0,1.674820662
216,77,28,15,0,1.945453048
217,73,22,15,0,1.327117682
217,75,24,15,0,1.217395782
218,71,18,12,0,0.846298397
218,72,19,12,0,1.429255247
218,73,20,12,0,1.349212289
218,75,22,12,0,1.910542965
218,77,24,12,0,1.961711049
218,78,25,12,0,1.237874031
219,75,22,13,0,1.289716244
219,77,24,13,0,1.233516574
219,78,25,13,0,1.280433774
220,69,19,12,0,1.584745288
220,70,20,12,0,1.775364876
220,71,21,12,0,1.642299414
220,72,22,12,0,1.805229425
220,73,23,12,0,1.809741616
220,75,25,12,0,1.874915481
220,77,27,12,0,1.950397491
220,78,28,12,0,1.692819476
221,70,22,16,1,1.191702247
221,71,23,16,1,2.414161682
221,72,24,16,1,2.34040451
221,73,25,16,0,2.46253109
222,77,26,16,0,2.311540365
222,78,27,16,0,2.240650177
223,73,22,16,0,1.799791694
223,75,24,16,0,2.056804895
223,77,26,16,0,1.657728195
223,78,27,16,0,1.785688162
226,77,23,16,0,1.726721048
227,68,21,15,1,0.982735097
227,70,23,15,1,1.728845477
227,71,24,15,1,1.232514739
227,72,25,15,1,1.545326948
227,73,26,15,1,1.594334841
227,75,28,15,1,1.44053936
227,77,30,15,1,1.188866138
227,78,31,15,1,1.586838007
228,70,23,16,0,1.865145206
228,71,24,16,0,1.742385983
228,72,25,16,0,1.716936827
228,73,26,16,1,1.675738811
228,75,28,16,1,1.779864192
228,77,30,16,1,1.757637382
229,70,22,16,0,1.297063231
229,78,30,16,,1.231643319
231,68,22,16,0,2.055623055
232,75,24,18,0,1.217395782
232,77,26,18,0,2.085793018
232,78,27,18,0,1.904771686
233,75,22,16,0,1.53947866
233,77,24,16,0,1.753038049
233,78,25,16,0,1.609437823
235,73,22,16,0,1.321041822
235,75,24,16,0,1.885225058
237,77,25,17,0,1.416566133
237,78,26,17,0,1.503577471
238,68,22,14,0,1.6994133
238,69,23,14,0,1.728845477
238,71,25,14,0,2.021562099
238,72,26,14,0,2.174848318
238,73,27,14,0,2.159794331
238,75,29,14,0,2.080285311
238,77,31,14,0,2.080285311
239,68,22,12,0,1.813572288
242,68,19,12,0,1.842203975
242,69,20,12,0,1.892229795
242,70,21,12,0,1.954860568
242,71,22,12,0,1.94813478
242,72,23,12,0,2.135141373
242,73,24,12,0,2.155132055
242,75,26,12,0,0.195744276
242,77,28,12,0,1.137333155
242,78,29,12,0,1.598887444
246,70,22,13,0,1.559247732
246,71,23,13,0,1.938565016
246,72,24,13,0,1.979301453
246,73,25,13,0,1.976338387
246,75,27,13,0,1.742124081
246,77,29,13,0,1.742124081
247,69,18,9,0,0.11296469
247,77,26,9,0,1.791259646
251,69,17,10,0,1.206408739
251,70,19,10,0,1.004926682
251,71,19,10,0,2.118863821
251,73,21,10,0,1.493879557
251,78,26,10,0,2.237673998
252,69,19,12,0,1.361601353
252,70,20,12,0,1.316301703
252,71,21,12,0,1.415917754
252,72,22,12,0,1.454573154
252,73,23,12,0,1.512109637
252,75,25,12,0,1.905530334
252,77,27,12,0,1.851884246
252,78,28,12,0,1.801948547
253,68,22,12,0,1.403948903
253,69,23,12,0,1.082217693
253,71,25,12,0,1.442586064
253,72,26,12,0,0.761426032
253,73,27,12,0,1.572356224
254,68,18,12,0,1.339410782
254,69,19,12,0,1.316865683
254,70,20,12,0,1.721766949
254,71,21,12,0,1.696819901
254,73,23,12,0,1.589069963
254,75,25,12,0,1.582038641
254,77,27,12,0,1.975661874
254,78,28,12,1,1.699692249
255,78,35,14,0,2.373995781
256,68,22,12,0,1.945546508
256,69,23,12,0,2.045329094
257,75,25,16,0,1.837972164
257,78,28,16,0,2.086746693
258,78,29,14,0,2.218109608
259,68,23,8,0,1.532781959
263,69,19,12,0,0.891598105
264,73,20,13,0,1.376611352
264,75,22,13,0,1.321755528
264,77,25,13,0,1.688672662
264,78,25,13,0,1.531023145
266,71,27,12,0,1.461483717
266,72,28,12,0,1.454573154
267,70,27,12,0,1.501363277
267,71,28,12,0,1.100940585
267,77,34,12,0,1.498024106
268,69,18,11,0,0.329478681
268,70,19,11,0,0.198450953
268,75,24,11,0,1.317240715
269,71,22,16,0,1.123929858
269,72,23,16,0,1.943152666
269,73,24,16,0,1.919054866
269,75,26,16,0,2.115522623
269,77,28,16,0,2.253419876
269,78,29,16,0,2.240650177
271,71,19,11,0,1.182770371
272,68,21,12,0,1.270417571
272,69,22,12,0,1.26316154
272,70,23,12,0,1.251763463
272,71,24,12,0,1.251763463
272,72,25,12,0,1.661587
272,73,26,12,0,1.617470145
272,75,28,12,0,1.44053936
273,68,21,12,0,1.464573741
273,69,22,12,0,1.584745288
273,70,23,12,0,1.657228589
273,71,24,12,0,1.858522415
273,72,25,12,0,1.902458787
273,73,26,12,0,1.799791694
273,75,28,12,0,1.742124081
273,77,30,12,0,1.721167922
275,68,18,10,0,1.403948903
275,69,19,10,0,1.361601353
275,70,20,10,0,1.361601353
275,72,22,10,0,1.331360579
275,73,23,10,0,1.493793845
276,73,19,12,0,1.316364646
276,75,21,12,0,1.335178852
276,77,23,12,0,1.622840643
276,78,24,12,0,1.475107789
278,71,19,12,0,1.549395204
278,72,20,12,0,1.849987745
278,73,21,12,0,1.907149673
278,75,23,12,0,1.968811393
278,77,25,12,0,2.10607028
278,78,26,12,0,2.086746693
279,77,24,16,0,1.561845899
279,78,25,16,0,3.026004076
280,70,20,12,0,1.361601353
280,71,21,12,0,1.801364064
